"rt @napqilla: no 1, 3 ambisinya menguasai rakyat, no.2 ambisinya melayani rakyat, itu terlihat #debat2pilkadadki, mknya #loguepilihbadja aja",POSITIVE
rt @pandji: nah gue pikir sentimen petahana oke di #debat2pilkadadki semalam. tapi mnrt politicawave malah sebaliknya. geng\u2026 ,POSITIVE
rt @pandji: urutan pertama best moment #debat2pilkadadki : pak basuki misahin bu sylvie &amp,POSITIVE
rt @pandji: ini artikel yg menjelaskan ternyata di #debat2pilkadadki yg dapet respon positif di socmed adalah #aniessandiokoce https:\/\/t.co\u2026,POSITIVE
rt @mrtampi: agus makin santai.\nahok makin santun.\nanies makin esmosi.\n\nimho.\n#debat2pilkadadki,NEGATIVE
"pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja tahun baru imlek, pkb aj... https:\/\/t.co\/ggych4sgct #debat2pilkadadki #imlek",NEGATIVE
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! wni ang... ,NEGATIVE
nama nya juga debat\nbiasa nya itu https:\/\/t.co\/cjertypdxp,POSITIVE
"rt @dadansuwarna: kita ttp bisa bijak memilih, tanpa harus berteriak, tanpa harus mengumpat. #debat2pilkadadki #debatcagubdki",POSITIVE
"rt @aniesbaswedan: ibu, terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran, karakter dan semangat untuk berju\u2026 ",POSITIVE
"rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja  #debat2pil\u2026",NEGATIVE
"rt @jokoanwar: tiap ahok djarot ngomong, nambah ilmu ya kita. #debat2pilkadadki https:\/\/t.co\/xwwrnalpbu",POSITIVE
rt @jessyastrid: makasih @yosimokalu jangan kasih kendor untuk #1putaran #2periode #debat2pilkadadki salam dua jadiiii\u270c\u270c https:\/\/t.co\/jb5la\u2026,POSITIVE
rt @kimochiii_: \ud83c\udfa4mohon bersabar ini ujian \ud83d\ude14#debat2pilkadadki https:\/\/t.co\/ihw6yznay4,POSITIVE
rt @teddygusnaidi: 33. inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp,POSITIVE
#debat2pilkadadki orang-orang yang berhenti belajar akan menjadi pemilik masa lalu. orang-orang yang masih terus b #nomor1.com #gunaal101,POSITIVE
"as usual, ga pernah menjawab dgn solusi.",NEGATIVE
yah namanya jh odong2 si @sylviana_murni https:\/\/t.co\/8g7u4iuyo7,NEGATIVE
"rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026",NEGATIVE
"rt @komunitaskata: #debat2pilkadadki bohongi bohongi terus org pakai opini kinerja baik, pdhl kinerjanya absolutely buruk! https:\/\/t.co\/m8g\u2026",NEGATIVE
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! pria as... https:\/\/t.co\/315l4axm8h #debat2pilkadadki https:\/\/t.co\/ybh5dtxnw2,NEGATIVE
"rt @teddygusnaidi: ini yg gue bilang, yg hebat di tim @agusyudhoyono itu cuma tukang fotonya. coba zoom. orangnya dikit, kebyakan bers\u2026 ",NEGATIVE
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! dua gan... https:\/\/t.co\/dojksgdiwv #debat2pilkadadki https:\/\/t.co\/ebhmnmgaq3,NEGATIVE
"pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja tahun baru imlek, pkb aj... https:\/\/t.co\/1cvtw2ahuv #debat2pilkadadki #imlek",NEGATIVE
"rt @novnuraidah: sy ga percaya mpok @sylviana_murni melakukan gesture jempol yg sgt bad attitude ini.moga hanya editan, ini hanya uj\u2026 ",POSITIVE
"rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026",POSITIVE
makanya prof rhenald kasali bilang bhw dlm #debat2pilkadadki trjd pertarungan 1 lawan 3 \ud83d\ude06\n https:\/\/t.co\/qpyxtj1ybn,POSITIVE
rt @teddygusnaidi: 33. inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp,POSITIVE
"dalam hidup,terkadang kita lebih banyak mendapatkan apa yang tidak kita inginkan. dan ketika ki #nomor1.net #ariesya258 #debat2pilkadadki",POSITIVE
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026,NEGATIVE
"rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026",NEGATIVE
rt @teddygusnaidi: para pemuja-pemuji @agusyudhoyono kalau msh juga memuji ini keterlaluan... mbok ya kalau tugas boleh tapi realistis\u2026 ,NEGATIVE
rt @fariji_lacak: maklum...namanya jg paslon hapalan. https:\/\/t.co\/wkosscn3ds,NEGATIVE
rt @aef8386: kata @aniesbaswedan ipm di ibu kota manapun di seluruh dunia sll plg tinggi. benarkah? di amerika ternyata tidak be\u2026 ,NEGATIVE
"pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/hfzknf0wp0 #debat2pilkadadki https:\/\/t.co\/oupxyfrkuj",NEGATIVE
rt @stellakarunia: jangan pilih cagub yg dekat dgn sarang koruptor \ud83d\ude01#debat2pilkadadki https:\/\/t.co\/ttxy2oxi6p,NEGATIVE
"rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri, dipuja2, knp gak dijelaskan? ngeles aja emg gak bisa\u2026 ",NEGATIVE
rt @takviri: #aniesberbohong\n#aniesberbohong\n#aniesberbohong\n\n#sandiberbohong\n#sandiberbohong\n#sandiberbohong https:\/\/t.co\/f2z3p6zgkr,NEGATIVE
rt @margareth_fh: dari dulu sampe sekarang emang gak rubah selalu tetap jadi #imlek #missuniverse #debat2pilkadadki\u2026 https:\/\/t.co\/2j9gl6rzw5,POSITIVE
"rt @diki_romadhoni: retweet please..... \nmenurut anda, paslon mana yang paling pantas memimpin jakarta lima tahun kedepan? #debat2pilkadajk\u2026",POSITIVE
rt @deelestari: momen tak terlupakan #debat2pilkadadki https:\/\/t.co\/ec3lotsk0r,POSITIVE
"rt @teddygusnaidi: 2. anies dan agus adalah dua orang yg bermimpi semuanya perfect, tdk ada yang salah dan harus menjadi manusia tanpa caca\u2026",POSITIVE
rt @teddygusnaidi: 33. inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp,POSITIVE
"rt @diki_romadhoni: retweet please..... \nmenurut anda, paslon mana yang paling pantas memimpin jakarta lima tahun kedepan? #debat2pilkadajk\u2026",POSITIVE
rt @dipati_sangga: balik lg ke pekerjaan masing2 lah\n1. balik jadi tentara\n2. balik jadi gubernur\n3. balik jadi motivator #debat2pilkadadki,POSITIVE
rt @teddygusnaidi: 33. inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp,POSITIVE
"rt @teddygusnaidi: 5. tidak bisa dalam waktu 2 tahun hrs membereskan semuanya, karena masih ada yg dalam progres. ini bukan sulap simsalabi\u2026",POSITIVE
"pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/xheqylmxin #debat2pilkadadki https:\/\/t.co\/zxux6pyljy",NEGATIVE
"rt @desvronitaaa: gitu yg mau jadi pemimpin? udah salah harusnya intropeksi diri, bukan ngacuin jempol kebawah gitu emak sylvii \ud83d\ude02#debat2pil\u2026",NEGATIVE
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin,NEGATIVE
"rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart",NEGATIVE
"rt @teddygusnaidi: yang dikiri dia pikir dia ariel, yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau.. hahaha!!\u2026 ",NEGATIVE
rt @elyakin4: saya kaget lihat jempol bu silvy kebawah saat dengar penjelasan paslon 2. emang hrs gitu ya bu silvy? kayak preman.\u2026 ,NEGATIVE
rt @erixputra: #debat2pilkadadki knp sylviana mengacungkan jempol kebawah? bicara panjang lebar tanpa ada pertanyaan?\n\nkarena cewek tidak p\u2026,NEGATIVE
rt @arifahelfishy: nurunin jempol kebawah ya tadi wkwkww attitude nya mana ya? #debat2pilkadadki,NEGATIVE
rt @pbenyw: ipm di dki tertinggi berdasar data bps. bagaimana mas @aniesbaswedan ? cc @basuki_btp \n#debat2pilkadadki https:\/\/t.co\/54celjudqc,POSITIVE
rt @zul_hasan: sebelum debat kompak dukung agus - sylvi. setelah #debat2pilkadadki makin solid dukung @agussylvidki || @sohibahy\u2026 ,POSITIVE
rt @ponakannyaom: paslon 3 masih berbicara seperti anime naruto dan bleach\n\nbanyak filler\n\n#debat2pilkadadki,NEGATIVE
rt @ariearie_14: debat kok saling menjatuhkan ki pie? dua dua nya nyerang. eh malah bertengkar sendiri. (yg di serang melerai) *ngakak \ud83d\ude04\n#d\u2026,NEGATIVE
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! janji calon gubernur soal pembang... https:\/\/t.co\/dduvvxek1c #debat2pilkadadki,NEGATIVE
rt @imadya: anies semakin terlihat aslinya. masyarakat sudah cerdas tidak mudah dibohongi dengan opini2nya yang mengelabui data #debat2pilk\u2026,NEGATIVE
@gunromli mgk sebaiknya @aniesbaswedan siap2 beli tiket pswt pulang ke kampung nenek moyangnya di a**b sana..\ud83d\ude02\ud83d\ude05\u270c\ufe0f\ufe0f #debat2pilkadadki,NEGATIVE
rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026,NEGATIVE
rt @mrtampi: agus makin santai.\nahok makin santun.\nanies makin esmosi.\n\nimho.\n#debat2pilkadadki,NEGATIVE
"pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/nxowqxyhfy #debat2pilkadadki https:\/\/t.co\/7oaurnmatd",NEGATIVE
rt @rianernesto: di #debat2pilkadadki ada pak antasari azhar. suporter paslon teriak bongkar bongkar. ada seorang ibu dag dig dug,NEGATIVE
pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja perwakilan ormas islam j... https:\/\/t.co\/eviwhceffh #debat2pilkadadki #imlek,NEGATIVE
jangan pernah merobohkan pagar tanpa mengetahui me https:\/\/t.co\/2zb8o60uwf #debat2pilkadadki,NEGATIVE
"rt @andra_diansyah: waktu agus bilang gak gusur tapi cuma geser, gue inget tatan lhoo #debat2pilkadajkt #debat2pilkadadki",NEGATIVE
"rt @annisapohon_: kata siapa mas agus enggak punya solusi utk masalah dki jkt? mas agus itu punya solusi bambang yudhoyono, sby... \ud83d\ude42#ahydki\u2026",NEGATIVE
"rt @teddygusnaidi: 5. tidak bisa dalam waktu 2 tahun hrs membereskan semuanya, karena masih ada yg dalam progres. ini bukan sulap simsalabi\u2026",NEGATIVE
"rt @teddygusnaidi: 15. ketidakberhasilan anies baswedan dalam memimpin kementerian, banyak masalah dan belum lagi soal salah hitung anggara\u2026",NEGATIVE
"rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026",NEGATIVE
rt @pandji: nah gue pikir sentimen petahana oke di #debat2pilkadadki semalam. tapi mnrt politicawave malah sebaliknya. geng\u2026 ,NEGATIVE
rt @josua_tm: ibu sylvi adalah contoh bahwa wanita itu sulit ditebak dan pak anies contoh pria yg gak peka. #debat2pilkadadki,POSITIVE
"besok saya ajak kesana saja, saya udah survei minggu lalu, itu masuk bagian dr ibukota jakarta \ud83d\ude0a https:\/\/t.co\/mcmflaa5yo",POSITIVE
benerr bgt.. dan tidak mengajak penonton ikut mikir \ud83d\ude06 https:\/\/t.co\/jqnzamb7r3,POSITIVE
"rt @gandy_koz: pak anis,kl pas libur lebaran iseng2 deh ke ancol,.itu pantai isinya rakyat semua pak... bukan kecebong  #debat2pilkadadki",POSITIVE
"sedangkan paslon 2: to the point, menjawab, punya data-data dan semua orang  s u d a h  tau transparasi pekerjaannya #debat2pilkadadki",POSITIVE
"kami ingin melayani karena \""rakyat adalah boss kami\"" #ahokdjarot #basukidjarot #debat2pilkadadki pls rt\u2026 https:\/\/t.co\/lfjvmrmchm",POSITIVE
